alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
1,1,40000,0,0.240325,0,0.225075,0,0.292375,0,0.242225,200,false
1,1,50000,0,0.258,0,0.2791,0,0.237275,0,0.225625,200,false
1,1,100000,0,0.2463,0,0.238425,0,0.268425,0,0.24685,200,false
0,0,10000,0.1182,0.0809,0.1174,0.1907,0.1202,0.1137,0.197,0.0619,100,false
0,0.1,10000,0.001,0.0217,0,0.9226,0,0.0272,0.0013,0.0262,100,false
0,0.1,50000,0.001,0.0217,0,0.9226,0,0.0272,0.0013,0.0262,100,true
0,0.1,100000,0.001,0.0217,0,0.9226,0,0.0272,0.0013,0.0262,100,true
0,0.15,10000,0.0586,0.136,0.0999,0.3506,0.0951,0.0938,0.067,0.099,100,false
