mcs,s1,s2,s3,s4,s5
28291,23.7225,17.72,15.6275,17.9475,17.435
28292,23.6775,17.6675,15.72,18.0275,17.42
28293,23.8675,17.6025,15.65,18.1125,17.4775
28294,23.835,17.3775,15.5575,18.11,17.6525
28295,23.7975,17.25,15.455,18.165,17.7275
28296,23.86,17.1475,15.5925,18.2,17.8575
28297,23.84,17.0825,15.605,18.235,17.9025
28298,23.9325,16.92,15.5275,18.2225,18.0175
28299,23.955,16.875,15.5,18.2575,18.075
28300,23.9675,16.75,15.565,18.1625,18.215
28301,23.9025,16.6875,15.475,18.185,18.295
28302,24.035,16.6,15.37,18.2925,18.2825
28303,24.0525,16.57,15.51,18.235,18.29
28304,24.0225,16.4875,15.4175,18.3475,18.3675
28305,23.9675,16.3675,15.49,18.3325,18.5075
28306,24.0575,16.33,15.535,18.2775,18.5775
28307,24.0075,16.29,15.39,18.31,18.69
28308,24.0075,16.3375,15.3975,18.2525,18.8375
28309,23.9025,16.2675,15.48,18.215,18.9225
28310,23.8,16.1675,15.5625,18.22,18.95
28311,23.845,16.165,15.5575,18.2625,18.9225
28312,23.6875,16.2125,15.5125,18.18,19.0325
28313,23.76,16.125,15.6325,18.07,19.085
28314,23.74,16.1,15.6975,18.0475,19.05
28315,23.6225,16.045,15.7025,18.105,19.095
28316,23.5075,15.9925,15.825,18.035,19.205
28317,23.495,15.8425,15.905,18.075,19.205
28318,23.4925,15.845,15.8825,18.045,19.2575
28319,23.5375,15.76,15.8775,18.0075,19.29
28320,23.5125,15.805,15.9025,18.06,19.2425
28321,23.5025,15.7225,16,18.03,19.275
28322,23.38,15.7425,16.005,18.0175,19.2825
28323,23.3275,15.7,15.945,18.0425,19.3375
28324,23.3325,15.775,16.03,18.035,19.275
28325,23.4025,15.76,16.065,18.0075,19.3175
28326,23.385,15.755,16.2125,17.955,19.3175
28327,23.41,15.7425,16.19,17.92,19.3475
28328,23.2575,15.7675,16.3325,17.95,19.47
28329,23.3,15.71,16.28,17.935,19.48
28330,23.2425,15.7625,16.355,17.9,19.4475
28331,23.1075,15.7475,16.41,17.9275,19.515
28332,23.03,15.775,16.525,17.85,19.53
28333,22.985,15.8875,16.5625,17.775,19.4725
28334,22.795,15.9525,16.53,17.65,19.6125
28335,22.7275,16.07,16.64,17.71,19.64
28336,22.6375,16.065,16.6075,17.7175,19.6625
28337,22.4925,16.0475,16.6175,17.59,19.7675
28338,22.475,16.125,16.6875,17.5325,19.8825
28339,22.4825,16.0975,16.695,17.595,19.8925
28340,22.4475,16.135,16.6725,17.5725,19.94
28341,22.2325,16.2,16.7125,17.65,19.98
28342,22.175,16.2575,16.6625,17.5525,20.1875
28343,21.99,16.235,16.7325,17.495,20.21
28344,21.975,16.29,16.725,17.535,20.28
28345,21.875,16.325,16.6825,17.625,20.3375
28346,21.8075,16.405,16.5575,17.6375,20.3275
28347,21.6225,16.4875,16.5425,17.64,20.44
28348,21.6,16.5225,16.64,17.5475,20.4225
28349,21.54,16.575,16.5275,17.57,20.48
28350,21.3775,16.7225,16.495,17.585,20.445
28351,21.3575,16.8,16.485,17.615,20.535
28352,21.1675,16.945,16.4025,17.59,20.62
28353,21.05,17.005,16.43,17.545,20.6025
28354,20.995,17.11,16.3225,17.565,20.6125
28355,20.84,17.3025,16.3,17.5425,20.695
28356,20.7725,17.53,16.33,17.5325,20.7425
28357,20.8025,17.68,16.3625,17.4775,20.7725
28358,20.7675,17.7675,16.2425,17.42,20.7825
28359,20.75,17.8375,16.2025,17.355,20.8725
28360,20.6275,17.975,16.13,17.415,20.88
28361,20.42,18.02,16.105,17.415,20.8525
28362,20.2975,18.17,16.125,17.49,21.0175
28363,20.22,18.395,16.005,17.4075,21.1225
28364,20.16,18.475,15.86,17.425,21.095
28365,20.06,18.6425,15.805,17.4425,20.9775
28366,19.98,18.9725,15.67,17.445,21.025
28367,19.8725,19.045,15.7675,17.44,21
28368,19.7875,19.185,15.7025,17.475,20.9575
28369,19.63,19.2875,15.795,17.46,21.0275
28370,19.5725,19.4975,15.655,17.4825,21.0775
28371,19.4125,19.61,15.585,17.45,21.045
28372,19.36,19.79,15.5075,17.4025,21.0075
28373,19.15,20.0025,15.4875,17.3975,20.9725
28374,19.0725,20.0725,15.395,17.4575,21.0225
28375,18.96,20.23,15.37,17.445,21.0175
28376,18.9675,20.3825,15.37,17.3475,21.0225
28377,18.8925,20.5025,15.3525,17.3725,20.935
28378,18.8975,20.6475,15.2075,17.3175,20.8975
28379,18.9125,20.7875,15.25,17.3475,20.915
28380,18.7975,20.84,15.2225,17.3325,20.935
28381,18.8125,20.9775,15.1825,17.3875,20.8225
28382,18.725,21.14,15.1675,17.48,20.735
28383,18.66,21.1425,15.2225,17.4075,20.5525
28384,18.62,21.33,15.2525,17.46,20.585
28385,18.5075,21.3625,15.1975,17.3575,20.4925
28386,18.54,21.4425,15.155,17.34,20.3775
28387,18.5175,21.4975,15.19,17.37,20.32
28388,18.52,21.6575,15.2375,17.365,20.2975
28389,18.535,21.7475,15.2025,17.305,20.1575
28390,18.5525,21.8375,15.23,17.2625,20.145
28391,18.495,21.9075,15.255,17.355,20.0275
28392,18.45,22.0975,15.2775,17.51,19.83
28393,18.49,22.14,15.2325,17.405,19.7375
28394,18.42,22.35,15.21,17.3725,19.6025
28395,18.485,22.445,15.2325,17.44,19.5925
28396,18.515,22.4825,15.1975,17.39,19.45
28397,18.5025,22.5925,15.1925,17.405,19.265
28398,18.5125,22.585,15.155,17.43,19.23
28399,18.5775,22.605,15.1725,17.4375,19.1525
28400,18.6275,22.7325,15.1675,17.5625,19.1525
28401,18.6125,22.7375,15.1275,17.5875,19.1325
28402,18.615,22.665,15.0425,17.6025,19.09
28403,18.65,22.775,14.9725,17.69,18.9725
28404,18.6975,22.83,15.01,17.6525,18.835
28405,18.695,22.79,14.9975,17.6075,18.7475
28406,18.725,22.9575,14.8675,17.655,18.82
28407,18.5725,22.9975,14.8875,17.75,18.685
28408,18.7175,22.985,14.825,17.79,18.545
28409,18.8125,23.0725,14.765,17.8375,18.5225
28410,18.87,23.21,14.6375,17.9275,18.4425
28411,18.8975,23.2325,14.6025,17.96,18.355
28412,18.8725,23.2625,14.415,18.1625,18.2975
28413,18.8725,23.2425,14.365,18.2575,18.2875
28414,18.85,23.3425,14.335,18.18,18.2375
28415,18.9075,23.375,14.3275,18.285,18.12
28416,18.8925,23.3875,14.2975,18.3425,18.0025
28417,18.995,23.255,14.22,18.3725,18.05
28418,19.0375,23.355,14.245,18.48,17.9175
28419,19.0175,23.4425,14.15,18.495,17.7625
28420,19.185,23.555,14.095,18.575,17.7425
28421,19.2125,23.4325,14.045,18.6725,17.515
28422,19.1825,23.45,13.9725,18.675,17.42
28423,19.31,23.4775,14.03,18.7575,17.3475
28424,19.2725,23.495,13.8975,18.9475,17.22
28425,19.315,23.525,13.815,19.085,17.1975
28426,19.3275,23.4625,13.7675,19.155,17.04
28427,19.3225,23.47,13.7375,19.215,17.01
28428,19.5,23.545,13.8325,19.225,16.88
28429,19.5075,23.515,13.85,19.305,16.85
28430,19.5375,23.3625,13.8075,19.3825,16.7225
28431,19.5775,23.29,13.7525,19.4475,16.57
28432,19.5525,23.2825,13.8075,19.5475,16.54
28433,19.5825,23.2,13.8025,19.8075,16.5625
28434,19.6225,23.06,13.755,20.015,16.4575
28435,19.5975,23.12,13.7825,19.95,16.3375
28436,19.5475,23.0575,13.7375,20.07,16.2575
28437,19.475,22.9775,13.67,20.2275,16.2425
28438,19.5175,22.9325,13.7275,20.41,16.22
28439,19.53,22.82,13.8325,20.5075,16.2425
28440,19.5375,22.7875,13.8225,20.5725,16.1625
28441,19.585,22.5925,13.8125,20.715,16.13
28442,19.59,22.465,13.705,20.825,16.0625
28443,19.7325,22.3775,13.6825,20.8375,16.045
28444,19.87,22.2575,13.635,20.8075,16.015
28445,19.895,22.1275,13.635,20.995,16.005
28446,19.95,22.1225,13.7,21.16,15.94
28447,20.0025,22.0475,13.6625,21.1275,15.8875
28448,20.045,21.9875,13.7575,21.13,15.8675
28449,20.0025,21.8275,13.8275,21.2875,15.7575
28450,20.0825,21.75,13.9775,21.3775,15.775
28451,20.1725,21.6675,13.9975,21.3775,15.6825
28452,20.2,21.5475,14.0225,21.3925,15.6425
28453,20.26,21.4825,14.0125,21.48,15.5375
28454,20.2025,21.3,14.105,21.565,15.4175
28455,20.3225,21.2525,14.135,21.735,15.4475
28456,20.3175,20.9575,14.1725,21.7825,15.4225
28457,20.415,20.965,14.3025,21.8675,15.4175
28458,20.495,20.7375,14.2625,21.905,15.37
28459,20.4675,20.6025,14.3,22.0575,15.4
28460,20.57,20.425,14.3475,22.0175,15.4475
28461,20.5975,20.23,14.4325,22.05,15.475
28462,20.7025,20.1,14.5225,22.02,15.5425
28463,20.6525,19.8875,14.5975,22.0925,15.5125
28464,20.735,19.7925,14.5725,22.1575,15.55
28465,20.85,19.5825,14.73,22.12,15.595
28466,20.83,19.43,14.8225,22.18,15.6125
28467,20.8925,19.2825,14.7275,22.1525,15.6775
28468,21.0625,19.2075,14.7525,22.1,15.6725
28469,21.18,18.99,14.8825,22.06,15.71
28470,21.26,18.955,14.8925,22.1025,15.715
28471,21.295,18.8575,14.94,22.0675,15.635
28472,21.485,18.68,15.0625,22.04,15.725
28473,21.485,18.4475,15.0725,22.0725,15.73
28474,21.59,18.26,15.1775,22.0325,15.765
28475,21.63,18.24,15.0475,22.0125,15.83
28476,21.6025,18.22,15.1025,22.0025,15.89
28477,21.715,17.9725,15.11,22.16,15.935
28478,21.75,17.92,15.0675,22.1375,15.9525
28479,21.75,17.725,15.145,22.09,15.975
28480,21.7875,17.5675,15.135,22.0825,16.0625
28481,21.905,17.505,15.115,22.1975,16.1925
28482,21.8975,17.325,15.16,22.2,16.1725
28483,22.0075,17.3,15.1925,22.105,16.215
28484,22.035,17.1875,15.315,22.105,16.21
28485,22.19,17.1125,15.4325,21.9775,16.0725
28486,22.2925,17.0475,15.4,21.965,16.135
28487,22.15,17.0125,15.49,21.83,16.135
28488,22.2375,16.9875,15.525,21.89,16.165
28489,22.3975,16.9225,15.6325,21.775,16.195
28490,22.4925,16.9475,15.585,21.7025,16.1175
28491,22.4925,16.7675,15.615,21.71,16.1875
28492,22.4375,16.8525,15.595,21.5725,16.125
28493,22.5225,16.7225,15.7175,21.54,16.26
28494,22.63,16.66,15.76,21.3925,16.385
28495,22.585,16.5225,15.8525,21.335,16.38
28496,22.7125,16.5375,15.99,21.1675,16.435
28497,22.7375,16.56,15.9725,21.09,16.575
