implementation,run,time_seconds
cuda-mersenne,82,0.000929070
cuda-mersenne,83,0.000924751
cuda-mersenne,84,0.000925298
cuda-mersenne,85,0.000926420
cuda-mersenne,86,0.000929396
cuda-mersenne,87,0.000931696
cuda-mersenne,88,0.000937817
cuda-mersenne,89,0.000930459
cuda-mersenne,90,0.000955048
cuda-mersenne,91,0.000896238
cuda-mersenne,92,0.000853839
cuda-mersenne,93,0.001007742
cuda-mersenne,94,0.000866531
cuda-mersenne,95,0.000906946
cuda-mersenne,96,0.000898314
cuda-mersenne,97,0.000872063
cuda-mersenne,98,0.000917284
cuda-mersenne,99,0.000910141
cuda-mersenne,100,0.000920880
