alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.2,0.75,1,1000,0.109863,0.17658,0.126469,0.105188,0.167711,0.0329812,0.129702,0.151508,800,false
0.2,0.75,1,10000,0.140647,0.191811,0.141387,0.0838406,0.186434,0,0.144141,0.111739,800,false
0.15,0.75,1,500000,0.137833,0.183139,0.144714,0.08365,0.18532,0,0.150983,0.114361,800,false
0.2,0.75,1,1000,0.117517,0.201483,0.12242,0.0975781,0.153664,0.0338219,0.135611,0.137905,800,false
0.2,0.75,1,10000,0.132281,0.182219,0.145831,0.0812891,0.205584,0,0.132881,0.119914,800,false
0.2,0.75,1,50000,0.127787,0.193013,0.135106,0.102081,0.202286,0,0.134605,0.105122,800,false
0.2,0.75,1,50000,0.133855,0.182136,0.146684,0.0817531,0.182303,0,0.147623,0.125645,800,false
0.2,0.75,1,100000,0.133328,0.190391,0.141758,0.08865,0.187762,0,0.138923,0.119188,800,false
0.2,0.75,1,100000,0.129319,0.179348,0.144372,0.0823047,0.184053,0,0.153908,0.126695,800,false
0.2,0.75,1,250000,0.132931,0.198781,0.134162,0.0895031,0.18002,0,0.153163,0.111439,800,false
0.2,0.75,1,250000,0.126925,0.1968,0.138494,0.0816391,0.193837,0,0.148723,0.113581,800,false
0.2,0.75,1,500000,0.123808,0.185044,0.13867,0.0882719,0.201075,0,0.143609,0.119522,800,false
0.25,0.75,1,1000,0.1107,0.192534,0.112947,0.110625,0.156683,0.0352969,0.129823,0.151391,800,false
0.25,0.75,1,10000,0.118495,0.207405,0.126844,0.0796344,0.198923,0,0.157942,0.110756,800,false
0.2,0.75,1,500000,0.132928,0.181863,0.148308,0.0853813,0.178884,0,0.145592,0.127044,800,false
0.25,0.75,1,1000,0.102022,0.192095,0.120548,0.109408,0.175031,0.0333641,0.125686,0.141845,800,false
0.25,0.75,1,10000,0.123936,0.192167,0.128606,0.0832187,0.227305,0,0.138986,0.105781,800,false
0.25,0.75,1,50000,0.115931,0.213655,0.137192,0.0762469,0.20923,0,0.140483,0.107262,800,false
0.25,0.75,1,50000,0.126497,0.193541,0.130967,0.0851313,0.204344,0,0.155238,0.104283,800,false
0.25,0.75,1,100000,0.130106,0.195672,0.137942,0.0880422,0.199845,0,0.144483,0.103909,800,false
0.25,0.75,1,100000,0.122725,0.191944,0.134169,0.0839266,0.193091,0,0.148692,0.125453,800,false
0.25,0.75,1,250000,0.120564,0.193811,0.129742,0.0832172,0.202834,0,0.149347,0.120484,800,false
0.25,0.75,1,250000,0.119925,0.199145,0.134052,0.0764734,0.206208,0,0.147552,0.116645,800,false
0.25,0.75,1,500000,0.110006,0.197733,0.133277,0.0898203,0.198437,0,0.148512,0.122214,800,false
0.3,0.75,1,1000,0.08885,0.213014,0.114489,0.104772,0.156745,0.0400484,0.129956,0.152125,800,false
0.3,0.75,1,10000,0.117066,0.191681,0.148116,0.0810094,0.186463,0,0.158508,0.117158,800,false
