0,0.75,1,0,0.125009,0.124888,0.124679,0.124969,0.125027,0.125268,0.124881,0.125279,1600,0
0,0.75,1,1000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,2000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,3000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,5000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,7000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,10000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,25000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,50000,0.00237891,0.390327,0.00620625,0.222503,0.0622188,0.0838215,0.0225758,0.209968,1600,520
0,0.75,1,0,0.125109,0.1249,0.12518,0.124964,0.12491,0.124944,0.12465,0.125343,1600,0
0,0.75,1,1000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,2000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,3000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,5000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,7000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,10000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,25000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0,0.75,1,50000,0.00223203,0.392617,0.00615391,0.220609,0.0609875,0.0838391,0.0215969,0.211964,1600,480
0.05,0.75,1,0,0.125273,0.124994,0.125038,0.125037,0.124954,0.124793,0.12486,0.125051,1600,0
0.05,0.75,1,1000,0.0832434,0.194539,0.0927211,0.147505,0.0963293,0.116012,0.0854805,0.18417,1600,0
0.05,0.75,1,2000,0.111789,0.188625,0.117657,0.126623,0.12902,0.0667762,0.10528,0.15423,1600,0
0.05,0.75,1,3000,0.1162,0.185819,0.120987,0.121705,0.136053,0.0590676,0.10694,0.153228,1600,0
0.05,0.75,1,5000,0.126223,0.187313,0.13057,0.111072,0.147232,0.0390004,0.117595,0.140995,1600,0
0.05,0.75,1,7000,0.134605,0.189788,0.13733,0.10777,0.148698,0.0321297,0.112486,0.137194,1600,0
0.05,0.75,1,10000,0.133789,0.186529,0.135834,0.10566,0.154929,0.0310539,0.11898,0.133226,1600,0
0.05,0.75,1,25000,0.139795,0.183266,0.141732,0.103236,0.154811,0.0204855,0.124716,0.131958,1600,0
0.05,0.75,1,50000,0.145358,0.186763,0.141284,0.10104,0.163104,0.0157523,0.11808,0.128619,1600,0
0.05,0.75,1,0,0.125246,0.124903,0.124895,0.124914,0.124885,0.125055,0.125246,0.124856,1600,0
0.05,0.75,1,1000,0.0826121,0.192586,0.0900594,0.147206,0.0965359,0.117161,0.0771715,0.196667,1600,0
0.05,0.75,1,2000,0.110905,0.19227,0.114596,0.12973,0.126255,0.0717281,0.101266,0.15325,1600,0
0.05,0.75,1,3000,0.120146,0.186027,0.12021,0.122842,0.142418,0.0550055,0.105343,0.148009,1600,0
0.05,0.75,1,5000,0.125498,0.187535,0.126704,0.117195,0.143419,0.0441398,0.112451,0.143058,1600,0
0.05,0.75,1,7000,0.130986,0.187387,0.131372,0.114844,0.147326,0.040202,0.106077,0.141806,1600,0
0.05,0.75,1,10000,0.129106,0.192254,0.131856,0.108288,0.149196,0.0354121,0.116004,0.137884,1600,0
0.05,0.75,1,25000,0.137217,0.18158,0.138316,0.105017,0.162995,0.0211398,0.123383,0.130352,1600,0
0.05,0.75,1,50000,0.137871,0.18113,0.140756,0.100438,0.164866,0.0237602,0.126841,0.124337,1600,0
0.1,0.75,1,0,0.124871,0.1247,0.124734,0.125131,0.125037,0.125092,0.125145,0.125289,1600,0
0.1,0.75,1,1000,0.119824,0.188959,0.122075,0.113056,0.137184,0.0507762,0.117045,0.15108,1600,0
0.1,0.75,1,2000,0.133829,0.178625,0.140094,0.102305,0.159316,0.0225254,0.133378,0.129929,1600,0
0.1,0.75,1,3000,0.141639,0.18288,0.14666,0.0919828,0.170584,0.0111168,0.135796,0.119341,1600,0
0.1,0.75,1,5000,0.14868,0.180132,0.150973,0.092393,0.18052,0.00361875,0.133422,0.110261,1600,0
0.1,0.75,1,7000,0.147537,0.185369,0.146891,0.0940707,0.173504,0.000380469,0.139106,0.113141,1600,0
