alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0,0,1,0,0.12485,0.126069,0.124769,0.124063,0.125719,0.124412,0.125062,0.125056,400,0
0,0,1,1000,0.139594,0.140487,0.123063,0.121356,0.111219,0.125481,0.109481,0.129319,400,0
0,0,1,2000,0.106063,0.142063,0.122431,0.129731,0.141113,0.130506,0.108456,0.119637,400,0
0,0,1,3000,0.118944,0.128131,0.128719,0.132481,0.126994,0.11255,0.13575,0.116431,400,0
0,0,1,5000,0.152794,0.115731,0.119156,0.114281,0.111594,0.12865,0.120438,0.137356,400,0
0,0,1,7000,0.105862,0.119663,0.121663,0.119656,0.139237,0.145787,0.129862,0.118269,400,0
0,0,1,10000,0.138075,0.132619,0.1325,0.125975,0.119875,0.1104,0.110725,0.129831,400,0
0,0,1,25000,0.145294,0.159244,0.130263,0.115056,0.0996563,0.105369,0.112331,0.132788,400,0
0,0,1,50000,0.135862,0.135175,0.112506,0.115131,0.11555,0.129675,0.122819,0.133281,400,0
0,0,1,100000,0.131981,0.130906,0.134162,0.119938,0.108725,0.129,0.119706,0.125581,400,0
0,0,1,160000,0.132312,0.129881,0.132837,0.115594,0.1109,0.124306,0.12195,0.132219,400,0
0,0,1,0,0.124156,0.124356,0.12455,0.125231,0.125569,0.125781,0.126163,0.124194,400,0
0,0,1,1000,0.115881,0.124006,0.125169,0.130169,0.138175,0.132581,0.115006,0.119012,400,0
0,0,1,2000,0.104438,0.124225,0.132844,0.144075,0.127938,0.128644,0.126144,0.111694,400,0
0,0,1,3000,0.121744,0.11205,0.116263,0.144106,0.126456,0.116756,0.12155,0.141075,400,0
0,0,1,5000,0.116369,0.131269,0.131,0.127756,0.13165,0.138763,0.111931,0.111263,400,0
0,0,1,7000,0.1272,0.1311,0.128069,0.148025,0.1309,0.108206,0.112475,0.114025,400,0
0,0,1,10000,0.108863,0.10235,0.119356,0.123931,0.142425,0.167694,0.12625,0.109131,400,0
0,0,1,25000,0.124506,0.131963,0.141288,0.126587,0.12965,0.115306,0.108938,0.121762,400,0
0,0,1,50000,0.0962313,0.121956,0.127175,0.132337,0.158731,0.158569,0.114294,0.0907063,400,0
0,0,1,100000,0.105725,0.147725,0.11705,0.127231,0.130587,0.132056,0.122762,0.116862,400,0
0,0,1,160000,0.131306,0.139369,0.141013,0.124269,0.119525,0.118456,0.108787,0.117275,400,0
0,0.05,1,0,0.126044,0.123375,0.124838,0.125644,0.124919,0.125206,0.125037,0.124938,400,0
0,0.05,1,1000,0.129075,0.150969,0.102938,0.144762,0.1007,0.126637,0.111244,0.133675,400,0
0,0.05,1,2000,0.120619,0.156225,0.103925,0.129637,0.116888,0.137281,0.108956,0.126469,400,0
