alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.1,0.75,1,25000,0.157331,0.184883,0.146941,0.0824437,0.179012,0,0.135734,0.113655,800,0
0.1,0.75,1,50000,0.159723,0.176545,0.151623,0.0924734,0.168208,0,0.134348,0.117078,800,0
0.2,0.75,1,1000,0.115767,0.189612,0.126923,0.0982297,0.166705,0.0305391,0.131486,0.140737,800,0
0.2,0.75,1,2000,0.131347,0.198656,0.147423,0.0913734,0.165403,0.0132031,0.137961,0.114633,800,0
0.2,0.75,1,3000,0.129591,0.183336,0.140789,0.0902359,0.186566,0.00460781,0.151272,0.113603,800,0
0.2,0.75,1,5000,0.131089,0.190569,0.133455,0.0890453,0.192484,0,0.147831,0.115527,800,0
0.2,0.75,1,7000,0.129341,0.19062,0.136992,0.08765,0.19678,0,0.148231,0.110386,800,0
0.2,0.75,1,10000,0.13272,0.196709,0.146109,0.0862047,0.187603,0,0.14275,0.107903,800,0
0.2,0.75,1,25000,0.140744,0.196466,0.129689,0.0829797,0.182103,0,0.154009,0.114009,800,0
0.2,0.75,1,50000,0.135223,0.188133,0.136494,0.0893453,0.190352,0,0.143873,0.11658,800,0
0.15,0.75,1,1000,0.119458,0.192392,0.131136,0.105994,0.160783,0.035225,0.120605,0.134408,800,0
0.15,0.75,1,2000,0.142284,0.195408,0.132558,0.0879266,0.163817,0.00806562,0.145667,0.124273,800,0
0.15,0.75,1,3000,0.138111,0.183322,0.145858,0.0876578,0.183566,0.00354531,0.145283,0.112658,800,0
0.15,0.75,1,5000,0.137092,0.188141,0.14112,0.0963531,0.192716,0.000129688,0.133225,0.111223,800,0
0.15,0.75,1,7000,0.145389,0.187427,0.14297,0.0824328,0.196828,0,0.139195,0.105758,800,0
0.15,0.75,1,10000,0.140608,0.189927,0.142589,0.0920422,0.169819,0,0.145436,0.11958,800,0
0.15,0.75,1,25000,0.140369,0.187734,0.137495,0.0845125,0.188467,0,0.143206,0.118216,800,0
0.15,0.75,1,50000,0.139513,0.188494,0.140644,0.0845422,0.184541,0,0.153266,0.109002,800,0
0.25,0.75,1,1000,0.111573,0.189056,0.124522,0.100623,0.174069,0.0336562,0.129772,0.136728,800,0
0.25,0.75,1,2000,0.118459,0.197864,0.126733,0.0887016,0.186273,0.0100938,0.148353,0.123522,800,0
0.25,0.75,1,3000,0.133087,0.2013,0.133756,0.0941297,0.175853,0.00521406,0.139348,0.117311,800,0
0.25,0.75,1,5000,0.123675,0.210239,0.135263,0.0784422,0.200041,0.000704688,0.146714,0.104922,800,0
0.25,0.75,1,7000,0.127691,0.189128,0.1315,0.0894328,0.210097,0,0.142538,0.109614,800,0
0.25,0.75,1,10000,0.131677,0.203486,0.136436,0.0867359,0.183384,0,0.143586,0.114695,800,0
0.25,0.75,1,25000,0.122444,0.186006,0.137467,0.0848406,0.201513,0,0.158484,0.109245,800,0
0.25,0.75,1,50000,0.128952,0.202987,0.140637,0.0755516,0.1845,0,0.156586,0.110786,800,0
0.2,0.75,1,1000,0.121111,0.203469,0.119027,0.0972547,0.156823,0.0350594,0.126395,0.140861,800,0
0.2,0.75,1,2000,0.125231,0.191541,0.140542,0.102105,0.169311,0.00971719,0.132719,0.128834,800,0
0.2,0.75,1,3000,0.132667,0.188886,0.137902,0.0946484,0.192802,0.00156094,0.142495,0.109039,800,0
0.2,0.75,1,5000,0.124603,0.195783,0.134202,0.0851781,0.212017,0,0.144417,0.1038,800,0
0.2,0.75,1,7000,0.12867,0.193544,0.144139,0.0768563,0.196627,0,0.152622,0.107542,800,0
0.2,0.75,1,10000,0.137948,0.191391,0.146944,0.0915312,0.190523,0,0.146427,0.0952359,800,0
0.2,0.75,1,25000,0.129022,0.177473,0.13742,0.0888922,0.201942,0,0.144611,0.120639,800,0
0.2,0.75,1,50000,0.1396,0.184702,0.141408,0.0845906,0.180792,0,0.157644,0.111264,800,0
0.3,0.75,1,1000,0.0862672,0.203434,0.121223,0.11048,0.178842,0.0449656,0.112162,0.142625,800,0
0.3,0.75,1,2000,0.110734,0.214542,0.11047,0.0911141,0.189248,0.0266,0.129611,0.12768,800,0
0.3,0.75,1,3000,0.110673,0.189886,0.123333,0.0837406,0.200933,0.0101625,0.155883,0.125389,800,0
0.3,0.75,1,5000,0.118203,0.203631,0.127472,0.07985,0.19938,0.00365625,0.146522,0.121286,800,0
0.3,0.75,1,7000,0.108803,0.207617,0.120933,0.0828344,0.201578,0.00325156,0.147042,0.127941,800,0
0.3,0.75,1,10000,0.120059,0.209236,0.127928,0.0764937,0.208641,0,0.137212,0.12043,800,0
0.3,0.75,1,25000,0.10387,0.204666,0.131238,0.0752797,0.218419,0,0.155533,0.110995,800,0
0.3,0.75,1,50000,0.115991,0.206237,0.126634,0.0783516,0.214484,0,0.143097,0.115205,800,0
0.25,0.75,1,1000,0.120841,0.205888,0.106825,0.10183,0.166625,0.0294734,0.132509,0.136009,800,0
0.25,0.75,1,2000,0.112444,0.193764,0.128456,0.0864328,0.192008,0.00985156,0.150439,0.126605,800,0
0.25,0.75,1,3000,0.125647,0.204833,0.124781,0.0930484,0.198808,0.0055,0.143445,0.103938,800,0
0.25,0.75,1,5000,0.127463,0.196689,0.133572,0.0867547,0.200752,0,0.145723,0.109047,800,0
