MCS,ROCK,PAPER,SCISSORS,LIZARD,SPOCK
129,4.8375,0.9825,38.8225,29.7175,19.595
130,4.89,0.94,39.2275,29.0275,20.02
131,4.9525,0.8825,39.5025,28.315,20.37
132,4.995,0.845,39.7775,27.6225,20.84
133,5.005,0.855,39.905,26.9125,21.2675
134,5.0475,0.8375,40.2125,26.2525,21.69
135,5.04,0.815,40.4075,25.4625,22.075
136,5.105,0.8225,40.575,24.9275,22.575
137,5.145,0.7975,40.7225,24.2825,23.0025
138,5.145,0.8025,40.7625,23.78,23.3925
139,5.125,0.785,40.7175,23.2775,23.9075
140,5.16,0.8425,40.79,22.84,24.5475
141,5.135,0.8525,40.7425,22.3775,24.9125
142,5.105,0.8725,40.7275,21.9775,25.44
143,5.1125,0.865,40.685,21.5675,25.93
144,5.1025,0.8925,40.6425,21.16,26.375
145,5.105,0.88,40.4875,20.7725,26.84
146,5.085,0.885,40.42,20.375,27.3475
147,5.0675,0.8975,40.225,20.1825,27.8025
148,5.0375,0.93,39.9875,19.945,28.2025
149,4.975,0.965,39.7875,19.74,28.6175
150,4.9,0.9775,39.465,19.6375,29.165
151,4.845,1.015,39.2125,19.435,29.7075
152,4.865,0.9975,38.9625,19.22,30.2575
153,4.7775,1.025,38.565,18.8875,30.84
154,4.705,1.0525,38.42,18.7225,31.445
155,4.65,1.0575,37.895,18.5375,31.9975
156,4.5775,1.07,37.515,18.49,32.4475
157,4.495,1.0575,37.315,18.3175,32.955
158,4.355,1.105,36.9875,18.2575,33.375
159,4.2525,1.1125,36.5975,18.2675,33.84
160,4.24,1.155,36.31,18.255,34.3375
161,4.135,1.125,35.88,18.315,34.8325
162,4.035,1.0875,35.5125,18.2075,35.3025
163,3.9475,1.09,35.06,18.3375,35.7175
164,3.8575,1.0925,34.6525,18.3425,36.1675
165,3.8125,1.11,34.2475,18.475,36.5575
166,3.73,1.11,33.94,18.4975,36.9825
167,3.6825,1.1075,33.5025,18.4375,37.4175
168,3.6125,1.0625,33.2175,18.64,37.735
169,3.5025,1.035,32.655,18.8525,38.2175
170,3.47,1.025,32.275,19.035,38.4625
171,3.4375,1.0275,31.65,19.245,38.8325
172,3.3325,0.995,31.185,19.4225,39.22
173,3.28,0.9875,30.78,19.525,39.5325
174,3.185,1.01,30.35,19.7725,39.96
175,3.11,0.9425,29.8725,20.0225,40.42
176,3.025,0.93,29.57,20.1175,40.6325
177,2.9175,0.905,29.02,20.25,41.115
178,2.8725,0.8975,28.465,20.37,41.45
179,2.8125,0.89,28.0025,20.62,41.89
180,2.755,0.9175,27.48,20.7775,42.345
181,2.6575,0.8925,26.99,21.015,42.54
182,2.5625,0.915,26.405,21.4175,42.8675
183,2.5025,0.9075,25.935,21.7325,43.065
184,2.48,0.915,25.505,22.0275,43.3725
185,2.3725,0.89,24.9675,22.3325,43.6575
186,2.3225,0.89,24.5475,22.5775,43.8275
187,2.235,0.9375,24.1925,22.9725,44.045
188,2.19,0.9725,23.8725,23.1925,44.185
189,2.165,0.9675,23.53,23.4975,44.29
190,2.14,0.97,23.265,23.75,44.1525
191,2.07,0.98,22.7825,24.1325,44.2925
192,1.985,1.0075,22.4875,24.4925,44.24
193,1.92,1.0175,22.205,24.79,44.2075
194,1.86,1.0225,22.02,25.1775,44.1325
195,1.8175,1.03,21.7625,25.5825,44.1275
196,1.795,1.01,21.525,26.0125,43.9975
197,1.7825,1.015,21.3275,26.345,43.8475
198,1.735,1,21.0075,26.705,43.8325
199,1.7425,1.025,20.7775,27.0075,43.79
200,1.6675,1.0425,20.6425,27.285,43.795
201,1.615,1.0525,20.3575,27.6775,43.5825
202,1.565,1.05,20.23,28.075,43.2825
203,1.5825,1.09,19.9275,28.52,43.215
204,1.54,1.1,19.93,28.8475,43.0325
205,1.515,1.105,19.665,29.1725,42.775
206,1.485,1.1175,19.5075,29.6825,42.4775
207,1.4925,1.14,19.4725,30.0875,42.1275
208,1.525,1.155,19.3025,30.3975,41.9625
209,1.5475,1.1625,19.3275,30.7125,41.6575
210,1.55,1.1925,19.2625,31.0675,41.325
211,1.495,1.22,19.1925,31.3175,40.9625
212,1.495,1.23,19.22,31.8125,40.6675
213,1.505,1.26,19.2425,32.0825,40.24
214,1.555,1.265,19.2725,32.4375,39.9525
215,1.525,1.3175,19.2675,32.8675,39.4475
216,1.5425,1.33,19.31,33.145,39.075
217,1.535,1.3325,19.33,33.5,38.805
218,1.5,1.305,19.355,33.77,38.275
219,1.53,1.35,19.4975,34.185,37.8125
220,1.555,1.3675,19.5625,34.4225,37.3675
221,1.56,1.3575,19.63,34.72,37.0275
222,1.57,1.39,19.845,35.0625,36.5625
223,1.5725,1.335,19.9125,35.2875,36.23
224,1.585,1.345,20.085,35.515,35.88
225,1.605,1.3475,20.28,35.74,35.4475
226,1.6,1.2875,20.395,36.045,35.0225
227,1.6375,1.2625,20.54,36.3825,34.6825
228,1.6325,1.255,20.675,36.67,34.17
