mcs,s1,s2,s3
190,28.8544,29.7792,30.5953
191,28.8338,29.8161,30.6258
192,28.8075,29.8441,30.6458
193,28.7814,29.8689,30.68
194,28.7559,29.8877,30.7181
195,28.7241,29.8848,30.7214
196,28.7172,29.907,30.7792
197,28.687,29.9333,30.7745
198,28.6692,29.9519,30.767
199,28.6669,29.9653,30.7573
200,28.6247,29.9972,30.7491
201,28.612,30.0031,30.7263
202,28.6137,30.0241,30.7467
203,28.5925,30.022,30.7752
204,28.5881,30.0225,30.7975
205,28.5637,30.0587,30.7956
206,28.5706,30.0817,30.7867
207,28.5645,30.0809,30.8078
208,28.562,30.1039,30.825
209,28.5611,30.1067,30.8136
210,28.5681,30.1319,30.7917
211,28.553,30.1364,30.7878
212,28.5536,30.1539,30.7784
213,28.5633,30.16,30.7741
214,28.5698,30.172,30.8048
215,28.5372,30.1847,30.7633
216,28.5281,30.2114,30.755
217,28.5095,30.182,30.7764
218,28.5175,30.1837,30.7516
219,28.5167,30.1989,30.7423
220,28.5328,30.1883,30.7588
221,28.5641,30.1903,30.7522
222,28.6098,30.1655,30.7577
223,28.628,30.1978,30.7647
224,28.6116,30.197,30.7616
225,28.6103,30.2186,30.7588
226,28.6245,30.2448,30.6898
227,28.635,30.2286,30.7072
228,28.6514,30.273,30.6897
229,28.6719,30.2886,30.668
230,28.6681,30.2991,30.6402
231,28.6956,30.3069,30.633
232,28.7164,30.3144,30.635
233,28.7591,30.3089,30.5977
234,28.7787,30.3175,30.557
235,28.8538,30.3394,30.5423
236,28.9028,30.3533,30.5181
237,28.9447,30.3745,30.4812
238,28.9463,30.3675,30.4464
239,28.9659,30.3892,30.4216
240,29.0077,30.3641,30.4261
241,29.065,30.3977,30.3986
242,29.0934,30.403,30.3858
243,29.0783,30.4262,30.3631
244,29.0855,30.4191,30.3641
245,29.1186,30.4128,30.3477
246,29.193,30.4358,30.332
247,29.1905,30.453,30.3034
248,29.1895,30.4802,30.2547
249,29.2016,30.4931,30.2609
250,29.25,30.5309,30.2055
251,29.2834,30.5464,30.1748
252,29.283,30.5877,30.1461
253,29.3225,30.5623,30.0989
254,29.352,30.5686,30.045
255,29.3577,30.5969,30.0442
256,29.4061,30.6156,30.0395
257,29.4403,30.6517,30.032
258,29.4095,30.6677,29.9875
259,29.4391,30.6761,29.9573
260,29.4395,30.6684,29.955
261,29.4341,30.6825,29.9331
262,29.4383,30.6991,29.9142
263,29.4686,30.6941,29.9359
264,29.455,30.7306,29.8909
265,29.4563,30.7287,29.8989
266,29.4967,30.7508,29.8791
267,29.5058,30.7928,29.8625
268,29.4952,30.8108,29.7991
269,29.5152,30.8092,29.7737
270,29.4981,30.8264,29.7791
271,29.4811,30.8831,29.7772
272,29.4792,30.905,29.7623
273,29.4983,30.9347,29.7334
274,29.4988,30.9575,29.7392
275,29.5131,30.9713,29.7155
276,29.4778,30.967,29.7172
277,29.4748,30.9864,29.6709
278,29.4767,31.0081,29.6403
279,29.4609,31.0431,29.6364
280,29.4464,31.0703,29.5903
281,29.4672,31.0859,29.6059
282,29.4845,31.0723,29.5866
283,29.4767,31.1059,29.6061
284,29.4689,31.1253,29.6064
285,29.4739,31.1608,29.5872
286,29.4766,31.1847,29.5761
287,29.4616,31.2031,29.5561
288,29.4489,31.2464,29.5394
289,29.4603,31.2523,29.5272
290,29.4528,31.2236,29.4697
291,29.4473,31.2142,29.502
292,29.4464,31.252,29.4836
293,29.4375,31.3205,29.4594
294,29.3981,31.3494,29.4309
295,29.4009,31.3931,29.3891
296,29.3744,31.4055,29.4042
297,29.4064,31.4344,29.3719
298,29.4019,31.4464,29.3588
299,29.3902,31.4564,29.3541
300,29.413,31.4556,29.3644
301,29.4541,31.4745,29.3278
302,29.4631,31.5095,29.3053
303,29.4556,31.517,29.2792
304,29.4361,31.5508,29.2616
305,29.4105,31.5706,29.2189
306,29.4302,31.5959,29.1998
307,29.4414,31.6489,29.1605
308,29.4133,31.6531,29.142
309,29.4494,31.6702,29.1
310,29.4517,31.6919,29.0692
311,29.4889,31.688,29.0438
312,29.4963,31.6897,29.0325
313,29.5158,31.7031,29.0325
314,29.5094,31.7411,29.0228
315,29.5188,31.7581,29.0117
316,29.5253,31.7639,28.977
317,29.5298,31.818,28.9622
318,29.5323,31.815,28.9244
319,29.5477,31.7969,28.9127
320,29.562,31.7909,28.9044
321,29.5575,31.8022,28.8762
322,29.57,31.8206,28.8581
323,29.5969,31.8458,28.8273
324,29.5975,31.8628,28.8291
325,29.5991,31.863,28.8106
326,29.6266,31.8866,28.7877
327,29.6234,31.9111,28.752
328,29.612,31.9155,28.7325
329,29.6353,31.9319,28.7297
330,29.6617,31.9322,28.7169
331,29.6628,31.9248,28.6747
332,29.6719,31.9217,28.6791
333,29.7006,31.8955,28.6633
334,29.6972,31.9202,28.665
335,29.7247,31.9192,28.6569
336,29.7287,31.9345,28.6177
337,29.7427,31.9306,28.5817
338,29.7888,31.9242,28.5822
339,29.8072,31.9239,28.5409
340,29.8434,31.9277,28.5219
341,29.8669,31.9167,28.5222
342,29.883,31.9252,28.5173
343,29.9445,31.9014,28.5006
344,30.0013,31.9069,28.4742
345,30.027,31.8809,28.4458
346,30.0386,31.8736,28.4444
347,30.0787,31.8708,28.4144
348,30.153,31.8733,28.4006
349,30.1753,31.8553,28.3833
350,30.2223,31.8297,28.3341
351,30.3047,31.8175,28.2767
352,30.33,31.805,28.2609
353,30.3508,31.7819,28.237
354,30.3981,31.7517,28.2055
355,30.4305,31.7464,28.1869
356,30.48,31.7294,28.1527
357,30.5641,31.6837,28.1478
358,30.6095,31.6556,28.1222
359,30.673,31.6434,28.0744
360,30.7089,31.6025,28.0603
361,30.757,31.5764,28.0464
362,30.8195,31.5445,27.9975
363,30.9011,31.5091,27.97
364,30.9348,31.4972,27.9786
365,30.9928,31.4647,27.9475
366,31.0409,31.4542,27.9013
367,31.0861,31.4061,27.9145
368,31.1752,31.3588,27.8625
369,31.2033,31.2917,27.8342
370,31.2681,31.2475,27.8463
371,31.3255,31.2203,27.8463
372,31.3961,31.1645,27.8423
373,31.4406,31.1248,27.8125
374,31.4894,31.0828,27.7994
375,31.5563,31.0672,27.7789
376,31.6122,31.0244,27.7505
377,31.6459,31.0166,27.7555
378,31.7109,30.9736,27.7547
379,31.773,30.9166,27.7703
380,31.8069,30.8366,27.7662
381,31.8539,30.8105,27.7525
382,31.9194,30.763,27.7783
383,31.9669,30.7098,27.757
384,32.0183,30.6553,27.7622
385,32.0928,30.6059,27.7561
386,32.1016,30.5633,27.7517
387,32.1283,30.4995,27.7523
388,32.1892,30.4402,27.7687
389,32.2553,30.4453,27.7545
390,32.3022,30.4108,27.7653
391,32.3328,30.3789,27.7822
392,32.3912,30.327,27.8247
393,32.4173,30.2938,27.8311
394,32.4562,30.2125,27.8552
395,32.4764,30.1828,27.8597
396,32.4981,30.145,27.8497
397,32.5175,30.0961,27.8595
398,32.5469,30.0509,27.8683
399,32.5877,30.0064,27.8888
400,32.6187,29.9797,27.9017
401,32.6714,29.9472,27.9097
402,32.7214,29.8767,27.9091
403,32.7287,29.783,27.9162
404,32.7595,29.7645,27.9133
405,32.807,29.7105,27.9419
406,32.8481,29.6759,27.9575
407,32.8775,29.6483,27.9923
408,32.923,29.6234,27.9961
409,32.9433,29.5694,27.9953
410,32.9653,29.5217,28.0052
411,32.9903,29.4947,28.0372
412,32.9923,29.4247,28.0742
413,33.0159,29.4002,28.1186
414,33.0545,29.3394,28.1342
415,33.0959,29.3,28.1548
416,33.1281,29.2425,28.1603
417,33.1425,29.1808,28.1959
418,33.158,29.1298,28.1905
419,33.1586,29.1152,28.2391
420,33.1747,29.0444,28.2534
421,33.1717,28.9953,28.252
422,33.2166,28.94,28.2903
423,33.2197,28.9084,28.3144
424,33.24,28.8959,28.3588
425,33.2359,28.8417,28.3956
426,33.2094,28.7898,28.4384
427,33.1914,28.7739,28.4873
428,33.2395,28.6986,28.5378
429,33.2139,28.6444,28.5598
430,33.2391,28.6066,28.5564
431,33.2341,28.5578,28.6062
432,33.2223,28.5378,28.6286
433,33.2458,28.4964,28.6625
434,33.2603,28.455,28.7061
435,33.267,28.4141,28.7536
436,33.2473,28.3686,28.7869
437,33.2692,28.3405,28.8269
438,33.2653,28.2948,28.897
439,33.265,28.2486,28.9459
440,33.2269,28.2427,28.9898
441,33.2217,28.1931,29.0286
442,33.2345,28.1388,29.0541
443,33.2359,28.0959,29.0972
444,33.2491,28.0628,29.1195
445,33.2166,28.0497,29.1638
446,33.2061,28.0361,29.1803
447,33.2156,27.9908,29.2159
448,33.1797,27.9398,29.2389
449,33.1648,27.8984,29.2997
450,33.1272,27.878,29.3133
451,33.1097,27.8427,29.3547
452,33.1009,27.8567,29.3894
453,33.07,27.8548,29.4106
454,32.9978,27.8483,29.44
455,32.9647,27.8125,29.4909
456,32.9264,27.7814,29.543
457,32.8709,27.7886,29.6055
458,32.8227,27.7877,29.6702
459,32.7695,27.7931,29.7156
460,32.6769,27.7911,29.7403
461,32.6392,27.7978,29.8155
462,32.6089,27.7952,29.8427
463,32.5455,27.7783,29.8991
464,32.4931,27.8075,29.9542
465,32.4387,27.8278,30.0025
466,32.3686,27.8227,30.0819
467,32.2888,27.8092,30.1289
468,32.2462,27.8172,30.1645
469,32.2209,27.8066,30.2586
470,32.1605,27.8364,30.3128
471,32.0913,27.8459,30.3448
472,32.0369,27.872,30.3936
473,32.0162,27.8903,30.4439
474,31.9548,27.9145,30.4841
475,31.8605,27.9292,30.533
476,31.798,27.9106,30.6011
477,31.7061,27.9303,30.6572
478,31.6336,27.9405,30.6831
479,31.5894,27.9563,30.738
480,31.5448,27.9786,30.8141
481,31.4606,27.9923,30.8488
482,31.3792,27.9891,30.8972
483,31.3253,28.0205,30.9567
484,31.2411,28.0772,30.9948
485,31.1525,28.0911,31.0331
486,31.0594,28.1148,31.0823
487,30.9828,28.1634,31.1203
488,30.8861,28.1947,31.1689
489,30.8142,28.2256,31.21
490,30.733,28.3,31.2547
491,30.6631,28.3331,31.2822
492,30.615,28.3706,31.3214
493,30.542,28.3928,31.3425
494,30.4553,28.4419,31.3881
495,30.3786,28.5083,31.4325
496,30.3078,28.5494,31.4728
497,30.2105,28.5594,31.525
498,30.1239,28.6053,31.5578
499,30.0405,28.6311,31.5962
500,29.9625,28.6625,31.6323
501,29.9059,28.6927,31.6745
502,29.8113,28.7281,31.6894
503,29.7417,28.7827,31.6786
504,29.6538,28.8583,31.6933
505,29.5991,28.8934,31.6941
506,29.5167,28.9209,31.7586
507,29.4325,28.95,31.7956
508,29.3698,28.9808,31.8077
509,29.3012,29.0308,31.8445
510,29.2261,29.0966,31.8634
511,29.2063,29.1116,31.8948
512,29.1306,29.1105,31.92
513,29.0925,29.1344,31.9352
514,29.0098,29.2069,31.9631
515,28.9436,29.2812,31.9622
516,28.8283,29.3495,31.9616
517,28.7683,29.4127,31.9616
518,28.7417,29.448,31.9516
519,28.6795,29.5091,31.9545
520,28.618,29.5864,31.9383
521,28.5727,29.6253,31.9191
522,28.5202,29.7152,31.9088
523,28.4523,29.7591,31.8964
524,28.407,29.8492,31.8527
525,28.3617,29.9108,31.837
526,28.3212,29.9763,31.7812
527,28.3008,30.0472,31.7786
528,28.2627,30.1181,31.7198
529,28.2555,30.1839,31.7245
530,28.2272,30.2556,31.7072
531,28.1622,30.2878,31.6805
532,28.1209,30.3444,31.6367
533,28.0797,30.4017,31.6073
534,28.0538,30.4603,31.5756
535,28.0459,30.5241,31.5539
536,28.0447,30.5669,31.5308
537,28.0155,30.6452,31.492
538,27.9822,30.7189,31.4433
539,27.9433,30.7492,31.4217
540,27.9216,30.7958,31.3931
541,27.8816,30.8716,31.3145
542,27.8719,30.9486,31.2669
543,27.8931,31.0155,31.2102
544,27.8773,31.0567,31.1369
545,27.8844,31.1067,31.0372
546,27.8777,31.163,30.9953
547,27.8508,31.2277,30.9591
548,27.8542,31.3264,30.8905
549,27.8417,31.3825,30.8412
550,27.8161,31.4459,30.8003
551,27.8309,31.4686,30.7553
552,27.8472,31.5189,30.7166
553,27.855,31.5622,30.6513
554,27.8522,31.6605,30.6148
555,27.8722,31.6892,30.5481
556,27.8931,31.7311,30.4944
557,27.915,31.7688,30.433
558,27.9325,31.7916,30.3992
559,27.9428,31.8225,30.3608
560,27.9313,31.8642,30.2952
561,27.9438,31.9019,30.2244
562,27.9928,31.9525,30.1658
563,27.9767,31.9973,30.1433
564,27.9845,32.0292,30.0795
565,27.9959,32.047,30.0267
566,28.0098,32.0552,29.9805
567,28.0569,32.0841,29.882
568,28.0614,32.1058,29.805
569,28.0753,32.1613,29.7614
570,28.1119,32.1752,29.7403
571,28.153,32.2031,29.6588
572,28.1723,32.2275,29.6005
573,28.1888,32.248,29.5469
574,28.2206,32.2736,29.5075
575,28.2891,32.2898,29.4689
576,28.2998,32.2931,29.4292
577,28.3594,32.3039,29.3731
578,28.4245,32.2908,29.3247
579,28.4478,32.2998,29.3183
580,28.5137,32.2656,29.2502
581,28.5586,32.2822,29.1944
582,28.6005,32.283,29.1323
583,28.6647,32.2556,29.0792
584,28.7108,32.2355,29.0464
585,28.7991,32.2248,28.9627
586,28.878,32.1952,28.9214
587,28.9475,32.21,28.9016
588,28.9836,32.1741,28.8517
589,29.0625,32.1459,28.7844
590,29.1042,32.1214,28.7797
591,29.1794,32.1089,28.738
592,29.2511,32.082,28.7247
593,29.3203,32.0669,28.7037
594,29.3916,32.0508,28.6553
595,29.4563,32.0133,28.622
596,29.5337,31.9809,28.5686
597,29.603,31.9308,28.5416
598,29.6469,31.9006,28.53
599,29.7172,31.8491,28.4913
600,29.7811,31.8138,28.4297
601,29.8906,31.742,28.4166
602,29.9723,31.6816,28.417
603,30.0425,31.6406,28.4003
604,30.122,31.6059,28.3603
605,30.1911,31.5534,28.3366
606,30.252,31.4862,28.33
607,30.3294,31.4306,28.288
608,30.432,31.3731,28.2558
609,30.5344,31.3294,28.2708
610,30.6033,31.2756,28.2527
611,30.6686,31.25,28.1964
612,30.715,31.2256,28.1894
613,30.787,31.1884,28.1577
614,30.8731,31.1453,28.1077
615,30.9245,31.1191,28.1045
616,30.9944,31.1191,28.0669
617,31.0927,31.0698,28.0503
618,31.1581,31.0211,28.0297
619,31.2197,30.9639,28.0258
620,31.2505,30.9208,28.0112
621,31.3395,30.8827,27.9856
622,31.3736,30.8637,27.9659
623,31.44,30.8086,27.9419
624,31.4787,30.7223,27.9331
625,31.5278,30.6697,27.9609
626,31.6387,30.6061,27.9622
